STATENAME,AGENCYNAME,AGENCYID,GEOAGENCYID,STUDENTWHITE,STUDENTAFRICANAMERICAN,STUDENTLATINO,STUDENTASIAN,STUDENTNATIVE,STUDENTMULTIRACIAL,TEACHERWHITE,TEACHERAFRICANAMERICAN,TEACHERLATINO,TEACHERASIAN,TEACHERNATIVE,TEACHERMULTIRACIAL
CALIFORNIA,Clovis Unified School District,609030,609030,17321,1338,15681,6800,284,1322,2849,120,192,104,10,162
CALIFORNIA,Firebaugh-Las Deltas Unified School District,613840,613840,95,3,2185,5,0,2,3511,377,999,204,8,331
CALIFORNIA,Kerman Unified School District,619490,619490,477,35,4325,258,23,16,662,22,53,7,2,24
CALIFORNIA,Golden Plains Unified School District,691134,691134,24,13,1664,6,1,1,3502,196,290,94,26,284
CALIFORNIA,Healdsburg Unified School District,600044,600044,571,10,990,24,7,9,5140,320,602,662,25,369
CALIFORNIA,Alpine County Unified School District,602070,602070,42,0,4,0,32,2,199,1,19,2,1,12
CALIFORNIA,Banning Unified School District,603840,603840,580,365,3072,256,128,140,8559,736,2900,479,33,376
CALIFORNIA,Desert Center Unified School District,611100,611100,9,0,10,0,0,0,7,4,1,0,0,2
CALIFORNIA,Jurupa Unified School District,619260,619260,1761,362,16447,312,32,280,427,0,14,0,3,21
CALIFORNIA,Del Norte County Unified School District,610770,610770,1893,39,829,218,527,173,838,4,26,0,66,21
CALIFORNIA,Beaumont Unified School District,604290,604290,3226,627,5174,572,91,285,1049,10,20,10,4,15
CALIFORNIA,Coachella Valley Unified School District,609070,609070,156,35,18290,21,92,125,412,10,8,4,9,9
CALIFORNIA,Palo Verde Unified School District,629640,629640,637,203,2146,39,17,54,178,0,0,0,2,0
CALIFORNIA,Maxwell Unified School District,624150,624150,128,0,166,5,13,14,719,6,14,14,6,6
CALIFORNIA,Stony Creek Joint Unified School District,638070,638070,40,0,7,0,43,7,1195,3,43,9,11,44
CALIFORNIA,Colusa Unified School District,609570,609570,373,1,1014,20,57,14,1220,24,85,9,6,22
CALIFORNIA,Princeton Joint Unified School District,631620,631620,66,2,101,0,0,0,659,221,77,49,7,63
CALIFORNIA,Williams Unified School District,642540,642540,71,4,1284,16,2,5,2017,12,73,41,7,40
CALIFORNIA,Caruthers Unified School District,600067,600067,138,4,1202,78,6,14,1003,10,48,6,1,15
CALIFORNIA,Fowler Unified School District,614250,614250,241,25,2037,237,5,17,506,2,20,10,140,6
CALIFORNIA,Laton Joint Unified School District,621150,621150,86,9,572,1,0,32,1220,24,85,9,6,22
CALIFORNIA,Parlier Unified School District,629910,629910,30,1,3384,15,4,1,985,12,102,5,4,33
CALIFORNIA,Fillmore Unified School District,613800,613800,268,6,3432,16,13,22,908,7,62,10,3,22
CALIFORNIA,Oak Park Unified School District,627850,627850,2848,64,427,1046,18,181,955,6,85,5,4,31
CALIFORNIA,Ventura Unified School District,640980,640980,6675,198,8791,592,65,660,1125,24,278,24,1,29
CALIFORNIA,San Pasqual Valley Unified School District,635070,635070,16,6,320,0,333,37,349,3,114,5,4,7
CALIFORNIA,Warner Unified School District,600042,600042,819,36,435,114,131,198,444,6,20,18,1,16
CALIFORNIA,Carlsbad Unified School District,607500,607500,6270,139,3080,808,38,834,453,1,61,3,2,14
CALIFORNIA,Mountain Empire Unified School District,626100,626100,977,83,1430,51,77,166,310,0,14,1,0,10
CALIFORNIA,Vista Unified School District,641190,641190,6089,723,15993,1135,96,1113,149,0,4,0,0,4
CALIFORNIA,Sanger Unified School District,635250,635250,1665,142,8143,1253,31,488,169,0,9,3,0,1
CALIFORNIA,Selma Unified School District,636270,636270,316,16,5824,281,11,11,688,3,57,4,0,19
CALIFORNIA,Riverdale Joint Unified School District,600040,600040,236,13,1360,10,9,3,88,5,8,2,0,4
CALIFORNIA,Central Unified School District,607970,607970,2527,1439,9166,2299,96,245,356,1,19,1,0,3
CALIFORNIA,Trona Joint Unified School District,639840,639840,412,132,245,32,7,121,9,0,23,0,400,67
CALIFORNIA,Hesperia Unified School District,600014,600014,3424,1085,15244,294,79,3718,230,0,25,0,0,8
CALIFORNIA,Apple Valley Unified School District,600017,600017,5718,1287,6520,496,58,291,311,61,43,45,1,25
CALIFORNIA,Morongo Unified School District,625860,625860,4463,625,2627,308,55,388,591,102,47,64,2,41
CALIFORNIA,Redlands Unified School District,632070,632070,6238,1335,10321,2431,79,991,161,0,31,0,0,3
CALIFORNIA,San Bernardino City Unified School District,634170,634170,3167,6420,39586,1175,260,2544,484,3,78,0,2,8
CALIFORNIA,Upland Unified School District,600016,600016,2868,895,6117,807,48,293,519,360,68,62,5,44
CALIFORNIA,Rim of the World Unified School District,632610,632610,2011,36,1270,39,14,151,1487,32,197,16,2,40
CALIFORNIA,Yucaipa-Calimesa Joint Unified School District,643560,643560,4720,153,4038,209,42,807,1005,10,69,26,4,34
CALIFORNIA,Colton Joint Unified School District,609390,609390,1485,1261,19172,620,53,183,1412,20,534,23,3,47
CALIFORNIA,Lucerne Valley Unified School District,600015,600015,1239,92,856,139,17,295,73,5,28,0,1,1
CALIFORNIA,Live Oak Unified School District,622050,622050,462,6,1079,224,18,17,98,4,10,1,1,3
